method,capacity,topk,coverage,lane_mass_ratio,redundancy_penalty,dead_feature_penalty,reconstruction_penalty,reconstruction_mse,cgcs,cgcs_gate,cgcs_clipped,implied_angle_deg,phase_locked_by_angle
NMF,1,,0.125,1.0,1.0,1.0,0.9900990099009901,0.01,0.12376237623762376,diluted,0.12376237623762376,82.89070980697731,False
NMF,2,,0.25,1.0,1.0,1.0,0.9933774834437087,0.006666666666666667,0.24834437086092717,diluted,0.24834437086092717,75.6204378112988,False
NMF,3,,0.375,1.0,1.0,1.0,0.9950248756218907,0.005,0.37313432835820903,diluted,0.37313432835820903,68.09095021194611,False
NMF,4,,0.5,1.0,1.0,1.0,0.9960159362549801,0.004,0.49800796812749004,diluted,0.49800796812749004,60.13170448859056,False
NMF,5,,0.625,1.0,1.0,1.0,0.9966777408637874,0.0033333333333333335,0.6229235880398671,diluted,0.6229235880398671,51.47005390002373,False
NMF,6,,0.75,1.0,1.0,1.0,0.9971509971509971,0.002857142857142857,0.7478632478632479,diluted,0.7478632478632479,41.59437671191312,True
NMF,7,,0.875,1.0,1.0,1.0,0.9975062344139651,0.0025,0.8728179551122195,partial,0.8728179551122195,29.212226101184594,True
NMF,8,,1.0,1.0,1.0,1.0,0.9977827050997784,0.0022222222222222222,0.9977827050997784,phase-locked,0.9977827050997784,3.816186918805807,True
NMF,9,,1.0,1.0,0.5,1.0,0.998003992015968,0.002,0.499001996007984,diluted,0.499001996007984,60.066005476612744,False
NMF,10,,1.0,1.0,0.3333333333333333,1.0,0.9981851179673322,0.0018181818181818182,0.33272837265577737,diluted,0.33272837265577737,70.56553947668289,False
NMF,11,,1.0,1.0,0.25,1.0,0.9983361064891847,0.0016666666666666668,0.24958402662229617,diluted,0.24958402662229617,75.5471016022537,False
NMF,12,,1.0,1.0,0.2,1.0,0.9984639016897082,0.0015384615384615385,0.19969278033794166,diluted,0.19969278033794166,78.48100575667092,False
SAE,8,1.0,0.45000000000000007,0.77,1.0,0.25,0.6914893617021277,0.008923076923076922,0.05990026595744683,diluted,0.05990026595744683,86.56591186868309,False
SAE,12,1.0,0.48219280948873633,0.77,0.5,0.125,0.7327586206896551,0.0072941176470588225,0.017004051390645362,diluted,0.017004051390645362,89.0256926653382,False
SAE,16,1.0,0.5084962500721156,0.77,0.2,0.09090909090909091,0.7608695652173914,0.006285714285714285,0.005416590489898624,diluted,0.005416590489898624,89.68965070798578,False
SAE,24,1.0,0.55,0.738,0.1111111111111111,0.05263157894736842,0.7967032967032968,0.0051034482758620684,0.001891122035858878,diluted,0.001891122035858878,89.89164662421624,False
SAE,32,1.0,0.5821928094887362,0.706,0.07142857142857142,0.037037037037037035,0.8185840707964602,0.004432432432432432,0.000890108662819261,diluted,0.000890108662819261,89.949000523578,False
SAE,8,2.0,0.6000000000000001,0.82,1.0,1.0,0.7162534435261708,0.007923076923076922,0.35239669421487607,diluted,0.35239669421487607,69.36602210887848,False
SAE,12,2.0,0.6321928094887364,0.82,0.3333333333333333,0.25,0.7606263982102909,0.0062941176470588224,0.03285894020981724,diluted,0.03285894020981724,88.1169824508551,False
SAE,16,2.0,0.6584962500721157,0.82,0.16666666666666666,0.125,0.7909604519774012,0.005285714285714285,0.008897760064533765,diluted,0.008897760064533765,89.49018917406602,False
SAE,24,2.0,0.7000000000000001,0.7879999999999999,0.08333333333333333,0.0625,0.8297567954220315,0.004103448275862068,0.002383822126847878,diluted,0.002383822126847878,89.86341692366351,False
SAE,32,2.0,0.7321928094887362,0.756,0.05555555555555555,0.041666666666666664,0.8535178777393311,0.0034324324324324323,0.0010936443924889426,diluted,0.0010936443924889426,89.93733877953116,False
SAE,8,4.0,0.55,0.9199999999999999,1.0,1.0,0.729312762973352,0.007423076923076923,0.3690322580645161,diluted,0.3690322580645161,68.34405348865869,False
SAE,12,4.0,0.5821928094887363,0.9199999999999999,0.3333333333333333,1.0,0.7753705815279363,0.005794117647058823,0.13843398769143042,diluted,0.13843398769143042,82.04276201090848,False
SAE,16,4.0,0.6084962500721156,0.9199999999999999,0.2,0.2,0.8069164265129682,0.0047857142857142855,0.018069006803294176,diluted,0.018069006803294176,88.96466582742805,False
SAE,24,4.0,0.65,0.8879999999999999,0.09090909090909091,0.08333333333333333,0.8473338203067934,0.0036034482758620684,0.003705159705159705,diluted,0.003705159705159705,89.78770950074248,False
SAE,32,4.0,0.6821928094887362,0.8559999999999999,0.058823529411764705,0.05,0.8721272834413671,0.0029324324324324323,0.0014978966801017194,diluted,0.0014978966801017194,89.91417680999,False
