method,capacity,topk,coverage,lane_mass_ratio,reconstruction_mse,dead_features,redundant_valid_features,reconstruction_mse_norm,redundancy_penalty,dead_feature_penalty,reconstruction_penalty,cgcs,cgcs_gate
NMF,1,,0.125,1.0,0.01,0,0,0.9999999999,1.0,1.0,0.500000000025,0.062500000003125,diluted
NMF,2,,0.25,1.0,0.006666666666666667,0,0,0.6666666666,1.0,1.0,0.600000000024,0.150000000006,diluted
NMF,3,,0.375,1.0,0.005,0,0,0.49999999995,1.0,1.0,0.6666666666888889,0.25000000000833333,diluted
NMF,4,,0.5,1.0,0.004,0,0,0.39999999995999996,1.0,1.0,0.7142857143061225,0.35714285715306127,diluted
NMF,5,,0.625,1.0,0.0033333333333333335,0,0,0.3333333333,1.0,1.0,0.75000000001875,0.46875000001171874,diluted
NMF,6,,0.75,1.0,0.002857142857142857,0,0,0.2857142856857143,1.0,1.0,0.7777777777950617,0.5833333333462963,diluted
NMF,7,,0.875,1.0,0.0025,0,0,0.249999999975,1.0,1.0,0.800000000016,0.700000000014,diluted
NMF,8,,1.0,1.0,0.0022222222222222222,0,0,0.22222222219999999,1.0,1.0,0.8181818181966941,0.8181818181966941,partial
NMF,9,,1.0,1.0,0.002,0,1,0.19999999997999998,0.5,1.0,0.8333333333472223,0.41666666667361113,diluted
NMF,10,,1.0,1.0,0.0018181818181818182,0,2,0.18181818179999998,0.3333333333333333,1.0,0.846153846166864,0.2820512820556213,diluted
NMF,11,,1.0,1.0,0.0016666666666666668,0,3,0.16666666665,0.25,1.0,0.857142857155102,0.2142857142887755,diluted
NMF,12,,1.0,1.0,0.0015384615384615385,0,4,0.15384615383076922,0.2,1.0,0.8666666666782222,0.17333333333564446,diluted
SAE,8,1.0,0.45000000000000007,0.77,0.008923076923076922,3,0,0.8923076922184614,1.0,0.25,0.5284552845777646,0.04577743902654887,diluted
SAE,12,1.0,0.48219280948873633,0.77,0.0072941176470588225,7,1,0.729411764632941,0.5,0.125,0.5782312925413948,0.013418163002707855,diluted
SAE,16,1.0,0.5084962500721156,0.77,0.006285714285714285,10,4,0.6285714285085713,0.2,0.09090909090909091,0.6140350877429979,0.004371283553420237,diluted
SAE,24,1.0,0.55,0.738,0.0051034482758620684,18,8,0.5103448275351723,0.1111111111111111,0.05263157894736842,0.6621004566433769,0.0015716173997166471,diluted
SAE,32,1.0,0.5821928094887362,0.706,0.004432432432432432,26,13,0.44324324319891883,0.07142857142857142,0.037037037037037035,0.6928838951523658,0.0007534253101248355,diluted
SAE,8,2.0,0.6000000000000001,0.82,0.007923076923076922,0,0,0.7923076922284613,1.0,1.0,0.5579399141877545,0.2745064377803752,diluted
SAE,12,2.0,0.6321928094887364,0.82,0.0062941176470588224,3,2,0.629411764642941,0.3333333333333333,0.25,0.6137184115760534,0.026512538401364034,diluted
SAE,16,2.0,0.6584962500721157,0.82,0.005285714285714285,7,5,0.5285714285185713,0.16666666666666666,0.125,0.6542056074992577,0.007359362296621197,diluted
SAE,24,2.0,0.7000000000000001,0.7879999999999999,0.004103448275862068,15,11,0.4103448275451723,0.08333333333333333,0.0625,0.7090464547883563,0.002037031377402382,diluted
SAE,32,2.0,0.7321928094887362,0.756,0.0034324324324324323,23,17,0.3432432432089189,0.05555555555555555,0.041666666666666664,0.7444668008238525,0.0009539131673160388,diluted
SAE,8,4.0,0.55,0.9199999999999999,0.007423076923076923,0,0,0.7423076922334615,1.0,1.0,0.5739514349030403,0.2904194260609384,diluted
SAE,12,4.0,0.5821928094887363,0.9199999999999999,0.005794117647058823,0,2,0.5794117646479411,0.3333333333333333,1.0,0.6331471136172682,0.11304153371493324,diluted
SAE,16,4.0,0.6084962500721156,0.9199999999999999,0.0047857142857142855,4,4,0.4785714285235714,0.2,0.2,0.6763285024373498,0.015144795557840629,diluted
SAE,24,4.0,0.65,0.8879999999999999,0.0036034482758620684,11,10,0.36034482755017233,0.09090909090909091,0.08333333333333333,0.7351077313249224,0.00321442562515716,diluted
SAE,32,4.0,0.6821928094887362,0.8559999999999999,0.0029324324324324323,19,16,0.29324324321391887,0.058823529411764705,0.05,0.7732497387845136,0.0013280724483752645,diluted
