mode,sample_size,signal_rate_mean,signal_rate_std,lanes_seen_mean,lanes_seen_std
constrained,10,1.0,0.0,5.965,0.8931762530964859
constrained,25,1.0,0.0,7.715,0.4847161527571768
constrained,50,1.0,0.0,7.975,0.15651673213169878
constrained,100,1.0,0.0,8.0,0.0
constrained,250,1.0,0.0,8.0,0.0
constrained,500,1.0,0.0,8.0,0.0
constrained,1000,1.0,0.0,8.0,0.0
uniform,10,0.26,0.1417762410016672,2.255,1.1561393910153253
uniform,25,0.2666,0.08347021254261636,4.52,1.1071262995774604
uniform,50,0.2701,0.06107899160988504,6.59,1.1350514122905238
uniform,100,0.26225000000000004,0.04217024004826916,7.74,0.4832885672100882
uniform,250,0.26708,0.02572904035497515,7.995,0.07071067811865474
uniform,500,0.26764,0.018686259160330492,8.0,0.0
uniform,1000,0.265805,0.013829070502198414,8.0,0.0
