mode,sample_size,trial,signal_rate,unique_lanes_seen
uniform,10,0,0.2,1
constrained,10,0,1.0,5
uniform,10,1,0.5,4
constrained,10,1,1.0,6
uniform,10,2,0.1,1
constrained,10,2,1.0,6
uniform,10,3,0.3,3
constrained,10,3,1.0,6
uniform,10,4,0.2,2
constrained,10,4,1.0,5
uniform,10,5,0.3,2
constrained,10,5,1.0,7
uniform,10,6,0.4,4
constrained,10,6,1.0,6
uniform,10,7,0.4,3
constrained,10,7,1.0,6
uniform,10,8,0.0,0
constrained,10,8,1.0,4
uniform,10,9,0.1,1
constrained,10,9,1.0,7
uniform,10,10,0.3,3
constrained,10,10,1.0,6
uniform,10,11,0.3,2
constrained,10,11,1.0,7
uniform,10,12,0.1,1
constrained,10,12,1.0,5
uniform,10,13,0.2,2
constrained,10,13,1.0,5
uniform,10,14,0.3,3
constrained,10,14,1.0,8
uniform,10,15,0.2,1
constrained,10,15,1.0,6
uniform,10,16,0.6,5
constrained,10,16,1.0,7
uniform,10,17,0.4,3
constrained,10,17,1.0,5
uniform,10,18,0.1,1
constrained,10,18,1.0,8
uniform,10,19,0.4,4
constrained,10,19,1.0,5
uniform,10,20,0.4,3
constrained,10,20,1.0,7
uniform,10,21,0.2,2
constrained,10,21,1.0,6
uniform,10,22,0.3,3
constrained,10,22,1.0,6
uniform,10,23,0.2,2
constrained,10,23,1.0,6
uniform,10,24,0.2,2
constrained,10,24,1.0,5
uniform,10,25,0.3,2
constrained,10,25,1.0,6
uniform,10,26,0.3,2
constrained,10,26,1.0,6
uniform,10,27,0.3,3
constrained,10,27,1.0,6
uniform,10,28,0.1,1
constrained,10,28,1.0,6
uniform,10,29,0.4,3
constrained,10,29,1.0,7
uniform,10,30,0.1,1
constrained,10,30,1.0,5
uniform,10,31,0.2,2
constrained,10,31,1.0,7
uniform,10,32,0.5,3
constrained,10,32,1.0,6
uniform,10,33,0.2,2
constrained,10,33,1.0,6
uniform,10,34,0.5,4
constrained,10,34,1.0,5
uniform,10,35,0.1,1
constrained,10,35,1.0,6
uniform,10,36,0.1,1
constrained,10,36,1.0,6
uniform,10,37,0.2,2
constrained,10,37,1.0,6
uniform,10,38,0.2,2
constrained,10,38,1.0,5
uniform,10,39,0.1,1
constrained,10,39,1.0,7
uniform,10,40,0.7,4
constrained,10,40,1.0,5
uniform,10,41,0.2,2
constrained,10,41,1.0,5
uniform,10,42,0.3,3
constrained,10,42,1.0,7
uniform,10,43,0.4,3
constrained,10,43,1.0,6
uniform,10,44,0.5,3
constrained,10,44,1.0,7
uniform,10,45,0.2,2
constrained,10,45,1.0,6
uniform,10,46,0.1,1
constrained,10,46,1.0,7
uniform,10,47,0.2,2
constrained,10,47,1.0,6
uniform,10,48,0.2,1
constrained,10,48,1.0,6
uniform,10,49,0.3,2
constrained,10,49,1.0,5
uniform,10,50,0.3,2
constrained,10,50,1.0,6
uniform,10,51,0.1,1
constrained,10,51,1.0,5
uniform,10,52,0.2,2
constrained,10,52,1.0,7
uniform,10,53,0.3,2
constrained,10,53,1.0,5
uniform,10,54,0.2,2
constrained,10,54,1.0,5
