method,capacity,topk,coverage,lane_mass_ratio,reconstruction_mse,dead_features,redundant_valid_features,structure_quality,regime
NMF,1,,0.125,1.0,0.0001191884948639,0,0,0.125,fragmented
NMF,2,,0.25,0.9999999403953552,9.796224912861362e-05,0,0,0.2499999850988388,fragmented
NMF,3,,0.375,1.0,7.885768718551844e-05,0,0,0.375,fragmented
NMF,4,,0.5,1.0,6.057254358893261e-05,0,0,0.5,fragmented
NMF,5,,0.625,0.9999999880790712,4.2816503992071375e-05,0,0,0.6249999925494195,fragmented
NMF,6,,0.75,0.999999980131785,2.7192809284315445e-05,0,0,0.7499999850988388,partial
NMF,7,,0.875,0.9999999829701016,1.3361749552132096e-05,0,0,0.8749999850988389,partial
NMF,8,,1.0,1.0,1.5842275269406512e-09,0,0,1.0,recovered
NMF,9,,1.0,0.9999999735090468,7.489637382507297e-11,0,1,0.4999999867545234,recovered
NMF,10,,1.0,1.0,1.3817300081875314e-10,0,2,0.3333333333333333,recovered
NMF,11,,1.0,1.0,5.384229520566386e-12,0,3,0.25,recovered
NMF,12,,1.0,0.9999999900658926,4.021752722516148e-11,0,4,0.19999999801317853,recovered
SAE,8,1.0,0.375,0.3839533403515816,0.0016801154706627,7,2,0.005999270942993462,fragmented
SAE,8,2.0,0.375,0.40091054700315,0.0011522565037012,6,0,0.021477350732311606,fragmented
SAE,8,4.0,0.25,0.3941888361005112,0.0006433165399357,7,0,0.012318401128140975,fragmented
SAE,12,1.0,0.5,0.422299787402153,0.0009886824991554,10,1,0.009597722440958023,fragmented
SAE,12,2.0,0.625,0.4515572972595691,0.0006164883961901,10,2,0.008552221539006989,fragmented
SAE,12,4.0,0.75,0.3862731705109278,0.0016314475797116,9,1,0.014485243894159795,diluted
SAE,16,1.0,0.625,0.308371533639729,0.0021988204680383,15,2,0.004015254344267305,fragmented
SAE,16,2.0,0.375,0.3440325106494128,0.0016808698419481,14,3,0.00215020319155883,fragmented
SAE,16,4.0,0.375,0.416996116284281,0.0006100223981775,13,3,0.00279238470726081,fragmented
SAE,24,1.0,0.625,0.320144794570903,0.0027131296228617,23,4,0.0016674208050567866,fragmented
SAE,24,2.0,0.625,0.3511152335753043,0.0016617267392575,22,3,0.0023852937063539694,fragmented
SAE,24,4.0,0.75,0.3881690343065808,0.0005966776516288,19,5,0.00242605646441613,diluted
SAE,32,1.0,0.625,0.2799883682164363,0.0022228532470762,30,2,0.0018816422595190612,fragmented
SAE,32,2.0,0.625,0.3486010236665606,0.0006237829220481,29,6,0.0010375030466266684,fragmented
SAE,32,4.0,1.0,0.3934966064989567,8.052233170019463e-05,27,13,0.0010038178737218281,diluted
