value,residue_mod30,valid_lane
0,0,0
1,1,1
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,1
8,8,0
9,9,0
10,10,0
11,11,1
12,12,0
13,13,1
14,14,0
15,15,0
16,16,0
17,17,1
18,18,0
19,19,1
20,20,0
21,21,0
22,22,0
23,23,1
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,1
30,0,0
31,1,1
32,2,0
33,3,0
34,4,0
35,5,0
36,6,0
37,7,1
38,8,0
39,9,0
40,10,0
41,11,1
42,12,0
43,13,1
44,14,0
45,15,0
46,16,0
47,17,1
48,18,0
49,19,1
50,20,0
51,21,0
52,22,0
53,23,1
54,24,0
55,25,0
56,26,0
57,27,0
58,28,0
59,29,1
60,0,0
61,1,1
62,2,0
63,3,0
64,4,0
65,5,0
66,6,0
67,7,1
68,8,0
69,9,0
70,10,0
71,11,1
72,12,0
73,13,1
74,14,0
75,15,0
76,16,0
77,17,1
78,18,0
79,19,1
80,20,0
81,21,0
82,22,0
83,23,1
84,24,0
85,25,0
86,26,0
87,27,0
88,28,0
89,29,1
90,0,0
91,1,1
92,2,0
93,3,0
94,4,0
95,5,0
96,6,0
97,7,1
98,8,0
99,9,0
100,10,0
101,11,1
102,12,0
103,13,1
104,14,0
105,15,0
106,16,0
107,17,1
108,18,0
109,19,1
110,20,0
111,21,0
112,22,0
113,23,1
114,24,0
115,25,0
116,26,0
117,27,0
118,28,0
119,29,1
120,0,0
121,1,1
122,2,0
123,3,0
124,4,0
125,5,0
126,6,0
127,7,1
128,8,0
129,9,0
130,10,0
131,11,1
132,12,0
133,13,1
134,14,0
135,15,0
136,16,0
137,17,1
138,18,0
139,19,1
140,20,0
141,21,0
142,22,0
143,23,1
144,24,0
145,25,0
146,26,0
147,27,0
148,28,0
149,29,1
150,0,0
151,1,1
152,2,0
153,3,0
154,4,0
155,5,0
156,6,0
157,7,1
158,8,0
159,9,0
160,10,0
161,11,1
162,12,0
163,13,1
164,14,0
165,15,0
166,16,0
167,17,1
168,18,0
169,19,1
170,20,0
171,21,0
172,22,0
173,23,1
174,24,0
175,25,0
176,26,0
177,27,0
178,28,0
179,29,1
180,0,0
181,1,1
182,2,0
183,3,0
184,4,0
185,5,0
186,6,0
187,7,1
188,8,0
189,9,0
190,10,0
191,11,1
192,12,0
193,13,1
194,14,0
195,15,0
196,16,0
197,17,1
198,18,0
199,19,1
200,20,0
201,21,0
202,22,0
203,23,1
204,24,0
205,25,0
206,26,0
207,27,0
208,28,0
209,29,1
210,0,0
211,1,1
212,2,0
213,3,0
214,4,0
215,5,0
216,6,0
217,7,1
218,8,0
219,9,0
220,10,0
221,11,1
222,12,0
223,13,1
224,14,0
225,15,0
226,16,0
227,17,1
228,18,0
229,19,1
230,20,0
231,21,0
232,22,0
233,23,1
234,24,0
235,25,0
236,26,0
237,27,0
238,28,0
239,29,1
240,0,0
241,1,1
242,2,0
243,3,0
244,4,0
245,5,0
246,6,0
247,7,1
248,8,0
249,9,0
250,10,0
251,11,1
252,12,0
253,13,1
254,14,0
255,15,0
256,16,0
257,17,1
258,18,0
259,19,1
260,20,0
261,21,0
262,22,0
263,23,1
264,24,0
265,25,0
266,26,0
267,27,0
268,28,0
269,29,1
270,0,0
271,1,1
272,2,0
273,3,0
274,4,0
275,5,0
276,6,0
277,7,1
278,8,0
279,9,0
280,10,0
281,11,1
282,12,0
283,13,1
284,14,0
285,15,0
286,16,0
287,17,1
288,18,0
289,19,1
290,20,0
291,21,0
292,22,0
293,23,1
294,24,0
295,25,0
296,26,0
297,27,0
298,28,0
299,29,1
300,0,0
301,1,1
302,2,0
303,3,0
304,4,0
305,5,0
306,6,0
307,7,1
308,8,0
309,9,0
310,10,0
311,11,1
312,12,0
313,13,1
314,14,0
315,15,0
316,16,0
317,17,1
318,18,0
319,19,1
320,20,0
321,21,0
322,22,0
323,23,1
324,24,0
325,25,0
326,26,0
327,27,0
328,28,0
329,29,1
330,0,0
331,1,1
332,2,0
333,3,0
334,4,0
335,5,0
336,6,0
337,7,1
338,8,0
339,9,0
340,10,0
341,11,1
342,12,0
343,13,1
344,14,0
345,15,0
346,16,0
347,17,1
348,18,0
349,19,1
350,20,0
351,21,0
352,22,0
353,23,1
354,24,0
355,25,0
356,26,0
357,27,0
358,28,0
359,29,1
360,0,0
361,1,1
362,2,0
363,3,0
364,4,0
365,5,0
366,6,0
367,7,1
368,8,0
369,9,0
370,10,0
371,11,1
372,12,0
373,13,1
374,14,0
375,15,0
376,16,0
377,17,1
378,18,0
379,19,1
380,20,0
381,21,0
382,22,0
383,23,1
384,24,0
385,25,0
386,26,0
387,27,0
388,28,0
389,29,1
390,0,0
391,1,1
392,2,0
393,3,0
394,4,0
395,5,0
396,6,0
397,7,1
398,8,0
399,9,0
400,10,0
401,11,1
402,12,0
403,13,1
404,14,0
405,15,0
406,16,0
407,17,1
408,18,0
409,19,1
410,20,0
411,21,0
412,22,0
413,23,1
414,24,0
415,25,0
416,26,0
417,27,0
418,28,0
419,29,1
420,0,0
421,1,1
422,2,0
423,3,0
424,4,0
425,5,0
426,6,0
427,7,1
428,8,0
429,9,0
430,10,0
431,11,1
432,12,0
433,13,1
434,14,0
435,15,0
436,16,0
437,17,1
438,18,0
439,19,1
440,20,0
441,21,0
442,22,0
443,23,1
444,24,0
445,25,0
446,26,0
447,27,0
448,28,0
449,29,1
450,0,0
451,1,1
452,2,0
453,3,0
454,4,0
455,5,0
456,6,0
457,7,1
458,8,0
459,9,0
460,10,0
461,11,1
462,12,0
463,13,1
464,14,0
465,15,0
466,16,0
467,17,1
468,18,0
469,19,1
470,20,0
471,21,0
472,22,0
473,23,1
474,24,0
475,25,0
476,26,0
477,27,0
478,28,0
479,29,1
480,0,0
481,1,1
482,2,0
483,3,0
484,4,0
485,5,0
486,6,0
487,7,1
488,8,0
489,9,0
490,10,0
491,11,1
492,12,0
493,13,1
494,14,0
495,15,0
496,16,0
497,17,1
498,18,0
499,19,1
500,20,0
501,21,0
502,22,0
503,23,1
504,24,0
505,25,0
506,26,0
507,27,0
508,28,0
509,29,1
510,0,0
511,1,1
512,2,0
513,3,0
514,4,0
515,5,0
516,6,0
517,7,1
518,8,0
519,9,0
520,10,0
521,11,1
522,12,0
523,13,1
524,14,0
525,15,0
526,16,0
527,17,1
528,18,0
529,19,1
530,20,0
531,21,0
532,22,0
533,23,1
534,24,0
535,25,0
536,26,0
537,27,0
538,28,0
539,29,1
540,0,0
541,1,1
542,2,0
543,3,0
544,4,0
545,5,0
546,6,0
547,7,1
548,8,0
549,9,0
550,10,0
551,11,1
552,12,0
553,13,1
554,14,0
555,15,0
556,16,0
557,17,1
558,18,0
559,19,1
560,20,0
561,21,0
562,22,0
563,23,1
564,24,0
565,25,0
566,26,0
567,27,0
568,28,0
569,29,1
570,0,0
571,1,1
572,2,0
573,3,0
574,4,0
575,5,0
576,6,0
577,7,1
578,8,0
579,9,0
580,10,0
581,11,1
582,12,0
583,13,1
584,14,0
585,15,0
586,16,0
587,17,1
588,18,0
589,19,1
590,20,0
591,21,0
592,22,0
593,23,1
594,24,0
595,25,0
596,26,0
597,27,0
598,28,0
599,29,1
600,0,0
601,1,1
602,2,0
603,3,0
604,4,0
605,5,0
606,6,0
607,7,1
608,8,0
609,9,0
610,10,0
611,11,1
612,12,0
613,13,1
614,14,0
615,15,0
616,16,0
617,17,1
618,18,0
619,19,1
620,20,0
621,21,0
622,22,0
623,23,1
624,24,0
625,25,0
626,26,0
627,27,0
628,28,0
629,29,1
630,0,0
631,1,1
632,2,0
