k,reconstruction_mse,mean_lane_mass_ratio,coverage,unique_valid_lanes,redundant_valid_features,dead_features
1,0.00011918849486391991,1.0,0.125,1,0,0
2,9.796224912861362e-05,0.9999999403953552,0.25,2,0,0
3,7.885768718551844e-05,1.0000000198682149,0.375,3,0,0
4,6.0572543588932604e-05,1.0,0.5,4,0,0
5,4.2816503992071375e-05,0.9999999880790711,0.625,5,0,0
6,2.7192809284315445e-05,0.999999980131785,0.75,6,0,0
7,1.3361749552132096e-05,0.9999999829701015,0.875,7,0,0
8,1.5842275269406514e-09,1.0,1.0,8,0,0
9,7.489637382507297e-11,0.9999999735090468,1.0,8,1,0
10,1.3817300081875317e-10,1.0000000298023224,1.0,8,2,0
11,5.384229520566386e-12,1.0000000270930203,1.0,8,3,0
12,4.0217527225161476e-11,0.9999999900658926,1.0,8,4,0
