prime,residue_mod30
7,7
11,11
13,13
17,17
19,19
23,23
29,29
31,1
37,7
41,11
43,13
47,17
53,23
59,29
61,1
67,7
71,11
73,13
79,19
83,23
89,29
97,7
101,11
103,13
107,17
109,19
113,23
127,7
131,11
137,17
139,19
149,29
151,1
157,7
163,13
167,17
173,23
179,29
181,1
191,11
193,13
197,17
199,19
211,1
223,13
227,17
229,19
233,23
239,29
241,1
251,11
257,17
263,23
269,29
271,1
277,7
281,11
283,13
293,23
307,7
311,11
313,13
317,17
331,1
337,7
347,17
349,19
353,23
359,29
367,7
373,13
379,19
383,23
389,29
397,7
401,11
409,19
419,29
421,1
431,11
433,13
439,19
443,23
449,29
457,7
461,11
463,13
467,17
479,29
487,7
491,11
499,19
503,23
509,29
521,11
523,13
541,1
547,7
557,17
563,23
569,29
571,1
577,7
587,17
593,23
599,29
601,1
607,7
613,13
617,17
619,19
631,1
641,11
643,13
647,17
653,23
659,29
661,1
673,13
677,17
683,23
691,1
701,11
709,19
719,29
727,7
733,13
739,19
743,23
751,1
757,7
761,11
769,19
773,23
787,7
797,17
809,29
811,1
821,11
823,13
827,17
829,19
839,29
853,13
857,17
859,19
863,23
877,7
881,11
883,13
887,17
907,7
911,11
919,19
929,29
937,7
941,11
947,17
953,23
967,7
971,11
977,17
983,23
991,1
997,7
