n,residue_mod30
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,0
31,1
32,2
33,3
34,4
35,5
36,6
37,7
38,8
39,9
40,10
41,11
42,12
43,13
44,14
45,15
46,16
47,17
48,18
49,19
50,20
51,21
52,22
53,23
54,24
55,25
56,26
57,27
58,28
59,29
60,0
61,1
62,2
63,3
64,4
65,5
66,6
67,7
68,8
69,9
70,10
71,11
72,12
73,13
74,14
75,15
76,16
77,17
78,18
79,19
80,20
81,21
82,22
83,23
84,24
85,25
86,26
87,27
88,28
89,29
90,0
91,1
92,2
93,3
94,4
95,5
96,6
97,7
98,8
99,9
100,10
101,11
102,12
103,13
104,14
105,15
106,16
107,17
108,18
109,19
110,20
111,21
112,22
113,23
114,24
115,25
116,26
117,27
118,28
119,29
120,0
121,1
122,2
123,3
124,4
125,5
126,6
127,7
128,8
129,9
130,10
131,11
132,12
133,13
134,14
135,15
136,16
137,17
138,18
139,19
140,20
141,21
142,22
143,23
144,24
145,25
146,26
147,27
148,28
149,29
150,0
151,1
152,2
153,3
154,4
155,5
156,6
157,7
158,8
159,9
160,10
161,11
162,12
163,13
164,14
165,15
166,16
167,17
168,18
169,19
170,20
171,21
172,22
173,23
174,24
175,25
176,26
177,27
178,28
179,29
180,0
181,1
182,2
183,3
184,4
185,5
186,6
187,7
188,8
189,9
190,10
191,11
192,12
193,13
194,14
195,15
196,16
197,17
198,18
199,19
200,20
201,21
202,22
203,23
204,24
205,25
206,26
207,27
208,28
209,29
210,0
211,1
212,2
213,3
214,4
215,5
216,6
217,7
218,8
219,9
220,10
221,11
222,12
223,13
224,14
225,15
226,16
227,17
228,18
229,19
230,20
231,21
232,22
233,23
234,24
235,25
236,26
237,27
238,28
239,29
240,0
241,1
242,2
243,3
244,4
245,5
246,6
247,7
248,8
249,9
250,10
251,11
252,12
253,13
254,14
255,15
256,16
257,17
258,18
259,19
260,20
261,21
262,22
263,23
264,24
265,25
266,26
267,27
268,28
269,29
270,0
271,1
272,2
273,3
274,4
275,5
276,6
277,7
278,8
279,9
280,10
281,11
282,12
283,13
284,14
285,15
286,16
287,17
288,18
289,19
290,20
291,21
292,22
293,23
294,24
295,25
296,26
297,27
298,28
299,29
300,0
301,1
302,2
303,3
304,4
305,5
306,6
307,7
308,8
309,9
310,10
311,11
312,12
313,13
314,14
315,15
316,16
317,17
318,18
319,19
320,20
321,21
322,22
323,23
324,24
325,25
326,26
327,27
328,28
329,29
330,0
331,1
332,2
333,3
334,4
335,5
336,6
337,7
338,8
339,9
340,10
341,11
342,12
343,13
344,14
345,15
346,16
347,17
348,18
349,19
350,20
351,21
352,22
353,23
354,24
355,25
356,26
357,27
358,28
359,29
360,0
361,1
362,2
363,3
364,4
365,5
366,6
367,7
368,8
369,9
370,10
371,11
372,12
373,13
374,14
375,15
376,16
377,17
378,18
379,19
380,20
381,21
382,22
383,23
384,24
385,25
386,26
387,27
388,28
389,29
390,0
391,1
392,2
393,3
394,4
395,5
396,6
397,7
398,8
399,9
400,10
401,11
402,12
403,13
404,14
405,15
406,16
407,17
408,18
409,19
410,20
411,21
412,22
413,23
414,24
415,25
416,26
417,27
418,28
419,29
420,0
421,1
422,2
423,3
424,4
425,5
426,6
427,7
428,8
429,9
430,10
431,11
432,12
433,13
434,14
435,15
436,16
437,17
438,18
439,19
440,20
441,21
442,22
443,23
444,24
445,25
446,26
447,27
448,28
449,29
450,0
451,1
452,2
453,3
454,4
455,5
456,6
457,7
458,8
459,9
460,10
461,11
462,12
463,13
464,14
465,15
466,16
467,17
468,18
469,19
470,20
471,21
472,22
473,23
474,24
475,25
476,26
477,27
478,28
479,29
480,0
481,1
482,2
483,3
484,4
485,5
486,6
487,7
488,8
489,9
490,10
491,11
492,12
493,13
494,14
495,15
496,16
497,17
498,18
499,19
500,20
501,21
502,22
503,23
504,24
505,25
506,26
507,27
508,28
509,29
510,0
511,1
512,2
513,3
514,4
515,5
516,6
517,7
518,8
519,9
520,10
521,11
522,12
523,13
524,14
525,15
526,16
527,17
528,18
529,19
530,20
531,21
532,22
533,23
534,24
535,25
536,26
537,27
538,28
539,29
540,0
541,1
542,2
543,3
544,4
545,5
546,6
547,7
548,8
549,9
550,10
551,11
552,12
553,13
554,14
555,15
556,16
557,17
558,18
559,19
560,20
561,21
562,22
563,23
564,24
565,25
566,26
567,27
568,28
569,29
570,0
571,1
572,2
573,3
574,4
575,5
576,6
577,7
578,8
579,9
580,10
581,11
582,12
583,13
584,14
585,15
586,16
587,17
588,18
589,19
590,20
591,21
592,22
593,23
594,24
595,25
596,26
597,27
598,28
599,29
600,0
601,1
602,2
603,3
604,4
605,5
606,6
607,7
608,8
609,9
610,10
611,11
612,12
613,13
614,14
615,15
616,16
617,17
618,18
619,19
620,20
621,21
622,22
623,23
624,24
625,25
626,26
627,27
628,28
629,29
630,0
631,1
632,2
633,3
634,4
635,5
636,6
637,7
638,8
639,9
640,10
641,11
642,12
643,13
644,14
645,15
646,16
647,17
648,18
649,19
650,20
651,21
652,22
653,23
654,24
655,25
656,26
657,27
658,28
659,29
660,0
661,1
662,2
663,3
664,4
665,5
666,6
667,7
668,8
669,9
670,10
671,11
672,12
673,13
674,14
675,15
676,16
677,17
678,18
679,19
680,20
681,21
682,22
683,23
684,24
685,25
686,26
687,27
688,28
689,29
690,0
691,1
692,2
693,3
694,4
695,5
696,6
697,7
698,8
699,9
700,10
701,11
702,12
703,13
704,14
705,15
706,16
707,17
708,18
709,19
710,20
711,21
712,22
713,23
714,24
715,25
716,26
717,27
718,28
719,29
720,0
721,1
722,2
723,3
724,4
725,5
726,6
727,7
728,8
729,9
730,10
731,11
732,12
733,13
734,14
735,15
736,16
737,17
738,18
739,19
740,20
741,21
742,22
743,23
744,24
745,25
746,26
747,27
748,28
749,29
750,0
751,1
752,2
753,3
754,4
755,5
756,6
757,7
758,8
759,9
760,10
761,11
762,12
763,13
764,14
765,15
766,16
767,17
768,18
769,19
770,20
771,21
772,22
773,23
774,24
775,25
776,26
777,27
778,28
779,29
780,0
781,1
782,2
783,3
784,4
785,5
786,6
787,7
788,8
789,9
790,10
791,11
792,12
793,13
794,14
795,15
796,16
797,17
798,18
799,19
800,20
801,21
802,22
803,23
804,24
805,25
806,26
807,27
808,28
809,29
810,0
811,1
812,2
813,3
814,4
815,5
816,6
817,7
818,8
819,9
820,10
821,11
822,12
823,13
824,14
825,15
826,16
827,17
828,18
829,19
830,20
831,21
832,22
833,23
834,24
835,25
836,26
837,27
838,28
839,29
840,0
841,1
842,2
843,3
844,4
845,5
846,6
847,7
848,8
849,9
850,10
851,11
852,12
853,13
854,14
855,15
856,16
857,17
858,18
859,19
860,20
861,21
862,22
863,23
864,24
865,25
866,26
867,27
868,28
869,29
870,0
871,1
872,2
873,3
874,4
875,5
876,6
877,7
878,8
879,9
880,10
881,11
882,12
883,13
884,14
885,15
886,16
887,17
888,18
889,19
890,20
891,21
892,22
893,23
894,24
895,25
896,26
897,27
898,28
899,29
900,0
901,1
902,2
903,3
904,4
905,5
906,6
907,7
908,8
909,9
910,10
911,11
912,12
913,13
914,14
915,15
916,16
917,17
918,18
919,19
920,20
921,21
922,22
923,23
924,24
925,25
926,26
927,27
928,28
929,29
930,0
931,1
932,2
933,3
934,4
935,5
936,6
937,7
938,8
939,9
940,10
941,11
942,12
943,13
944,14
945,15
946,16
947,17
948,18
949,19
950,20
951,21
952,22
953,23
954,24
955,25
956,26
957,27
958,28
959,29
960,0
961,1
962,2
963,3
964,4
965,5
966,6
967,7
968,8
969,9
970,10
971,11
972,12
973,13
974,14
975,15
976,16
977,17
978,18
979,19
980,20
981,21
982,22
983,23
984,24
985,25
986,26
987,27
988,28
989,29
990,0
991,1
992,2
993,3
994,4
995,5
996,6
997,7
998,8
999,9
1000,10
