coverage,unique_valid_lanes,redundant_valid_features,dead_features,mean_lane_mass_ratio,hidden_dim,topk,final_loss
0.375,3,2,7,0.3839533403515816,8,1,0.001680115470662713
0.375,3,0,6,0.40091054700315,8,2,0.00115225650370121
0.25,2,0,7,0.39418883610051125,8,4,0.0006433165399357677
0.5,4,1,10,0.422299787402153,12,1,0.0009886824991554022
0.625,5,2,10,0.45155729725956917,12,2,0.0006164883961901069
0.75,6,1,9,0.38627317051092785,12,4,0.0016314475797116756
0.625,5,2,15,0.308371533639729,16,1,0.0021988204680383205
0.375,3,3,14,0.34403251064941287,16,2,0.0016808698419481516
0.375,3,3,13,0.416996116284281,16,4,0.0006100223981775343
0.625,5,4,23,0.320144794570903,24,1,0.002713129622861743
0.625,5,3,22,0.35111523357530433,24,2,0.001661726739257574
0.75,6,5,19,0.38816903430658084,24,4,0.0005966776516288519
0.625,5,2,30,0.27998836821643636,32,1,0.002222853247076273
0.625,5,6,29,0.34860102366656065,32,2,0.0006237829220481217
1.0,8,13,27,0.3934966064989567,32,4,8.052233170019463e-05
