feature,peak_residue,lane_mass_ratio,activation_count,dead,valid_peak,hidden_dim,topk
0,1,0.36853158473968506,0,1,1,8,1
1,5,0.09022684395313263,0,1,0,8,1
2,17,0.3817536234855652,0,1,1,8,1
3,25,0.22368814051151276,0,1,0,8,1
4,22,0.2825547456741333,0,1,0,8,1
5,18,0.39997613430023193,0,1,0,8,1
6,20,0.2545851171016693,0,1,0,8,1
7,11,0.9999999403953552,600,0,1,8,1
0,23,0.670799970626831,0,1,1,8,2
1,6,0.32109662890434265,0,1,0,8,2
2,18,0.20182083547115326,0,1,0,8,2
3,19,0.9127082824707031,600,0,1,8,2
4,1,0.6607052087783813,600,0,1,8,2
5,29,0.3243982791900635,0,1,1,8,2
6,26,0.19987623393535614,0,1,0,8,2
7,21,0.23093870282173157,0,1,0,8,2
0,2,0.5090478658676147,0,1,0,8,4
1,7,0.2531452178955078,0,1,1,8,4
2,17,0.8971773386001587,600,0,1,8,4
3,13,0.6422985196113586,600,0,1,8,4
4,9,0.20749999582767487,0,1,0,8,4
5,7,0.572504460811615,600,0,1,8,4
6,25,0.16176098585128784,0,1,0,8,4
7,29,0.7409808039665222,600,0,1,8,4
0,27,0.22236448526382446,0,1,0,12,1
1,11,0.41431185603141785,0,1,1,12,1
2,15,0.2654973268508911,0,1,0,12,1
3,22,0.11361228674650192,0,1,0,12,1
4,4,0.25512754917144775,0,1,0,12,1
5,14,0.2048320174217224,0,1,0,12,1
6,18,0.1334550827741623,0,1,0,12,1
7,15,0.270724356174469,0,1,0,12,1
8,28,0.32468941807746887,0,1,0,12,1
9,5,0.24668164551258087,0,1,0,12,1
10,22,0.34400463104248047,0,1,0,12,1
11,11,1.0000001192092896,600,0,1,12,1
0,1,0.5801688432693481,597,0,1,12,2
1,23,0.36237311363220215,0,1,1,12,2
2,10,0.21276062726974487,0,1,0,12,2
3,29,0.19035159051418304,0,1,1,12,2
4,9,0.3437798321247101,0,1,0,12,2
5,19,1.0,600,0,1,12,2
6,1,0.4797080457210541,0,1,1,12,2
7,22,0.09995345026254654,0,1,0,12,2
8,15,0.1613244265317917,0,1,0,12,2
9,1,0.6339771747589111,0,1,1,12,2
10,24,0.19945955276489258,0,1,0,12,2
11,8,0.18778499960899353,0,1,0,12,2
0,8,0.5052252411842346,0,1,0,12,4
1,25,0.4196992814540863,0,1,0,12,4
2,17,0.8561239838600159,600,0,1,12,4
3,23,0.40996459126472473,0,1,1,12,4
4,16,0.19670340418815613,0,1,0,12,4
5,1,0.8550349473953247,600,0,1,12,4
6,29,0.7678358554840088,600,0,1,12,4
7,23,0.3446403443813324,0,1,1,12,4
8,6,0.25089535117149353,0,1,0,12,4
9,20,0.24427831172943115,0,1,0,12,4
10,0,0.22538559138774872,0,1,0,12,4
11,1,0.32011276483535767,0,1,1,12,4
0,0,0.3802821636199951,0,1,0,16,1
1,17,0.2562425136566162,0,1,1,16,1
2,3,0.38560178875923157,0,1,0,16,1
3,20,0.27341434359550476,0,1,0,16,1
4,13,0.37064996361732483,0,1,1,16,1
5,27,0.20069269835948944,0,1,0,16,1
6,18,0.3475332260131836,0,1,0,16,1
7,9,0.23871052265167236,0,1,0,16,1
8,25,0.2538112699985504,0,1,0,16,1
9,10,0.23569247126579285,0,1,0,16,1
10,16,0.19060024619102478,0,1,0,16,1
11,14,0.3599144518375397,0,1,0,16,1
12,29,0.15431801974773407,0,1,1,16,1
13,5,0.24102599918842316,0,1,0,16,1
14,3,0.3052710294723511,0,1,0,16,1
15,23,1.0,600,0,1,16,1
0,17,0.932988703250885,600,0,1,16,2
1,25,0.23423467576503754,0,1,0,16,2
2,5,0.11799575388431549,0,1,0,16,2
3,29,0.2778399884700775,0,1,1,16,2
4,17,0.40301287174224854,0,1,1,16,2
5,23,0.3342045545578003,0,1,1,16,2
6,29,0.27774474024772644,0,1,1,16,2
7,15,0.30429795384407043,0,1,0,16,2
8,28,0.35199421644210815,0,1,0,16,2
9,11,0.2564731240272522,0,1,1,16,2
10,12,0.19118396937847137,0,1,0,16,2
11,25,0.28275635838508606,0,1,0,16,2
12,15,0.38990792632102966,0,1,0,16,2
13,19,0.29484304785728455,0,1,1,16,2
14,13,0.8179599046707153,600,0,1,16,2
15,14,0.23118805885314941,0,1,0,16,2
0,17,0.4197537899017334,0,1,1,16,4
1,21,0.217653289437294,0,1,0,16,4
2,7,0.4149142801761627,0,1,1,16,4
3,21,0.23464883863925934,0,1,0,16,4
4,13,0.24455595016479492,0,1,1,16,4
5,19,0.950068473815918,600,0,1,16,4
6,1,0.8086113333702087,600,0,1,16,4
7,21,0.08536463975906372,0,1,0,16,4
8,4,0.15374955534934998,0,1,0,16,4
9,11,0.6040670871734619,0,1,1,16,4
10,29,0.7062823176383972,598,0,1,16,4
11,10,0.28580424189567566,0,1,0,16,4
12,27,0.2000362128019333,0,1,0,16,4
13,13,0.24983075261116028,0,1,1,16,4
14,7,0.48445966839790344,0,1,1,16,4
15,25,0.4808241128921509,0,1,0,16,4
0,1,0.6295439600944519,0,1,1,24,1
1,22,0.14593590795993805,0,1,0,24,1
2,13,0.23171311616897583,0,1,1,24,1
3,13,0.5721820592880249,0,1,1,24,1
4,13,0.36286431550979614,0,1,1,24,1
5,4,0.1859719157218933,0,1,0,24,1
6,21,0.16986684501171112,0,1,0,24,1
7,6,0.3994913697242737,0,1,0,24,1
8,6,0.24276217818260193,0,1,0,24,1
9,23,0.23864620923995972,0,1,1,24,1
10,29,0.2969433665275574,0,1,1,24,1
11,19,0.1469651311635971,0,1,1,24,1
12,3,0.16373741626739502,0,1,0,24,1
13,14,0.17715641856193542,0,1,0,24,1
14,16,0.414734810590744,0,1,0,24,1
15,20,0.3163328170776367,0,1,0,24,1
16,25,0.23321329057216644,0,1,0,24,1
17,0,0.09018634259700775,0,1,0,24,1
18,14,0.038065627217292786,0,1,0,24,1
19,1,0.2385513335466385,0,1,1,24,1
20,0,0.27199849486351013,0,1,0,24,1
21,11,1.0,600,0,1,24,1
22,7,0.39232122898101807,0,1,1,24,1
23,23,0.22939558327198029,0,1,1,24,1
0,20,0.33601275086402893,0,1,0,24,2
