feature,peak_residue,lane_mass_ratio,activation_count,dead,valid_peak
0,13,1.0,600,0,1
1,2,0.3188741207122803,0,1,0
2,13,0.28599703311920166,0,1,1
3,19,0.5149253606796265,0,1,1
4,11,0.35026830434799194,0,1,1
5,19,0.27887162566185,0,1,1
6,17,0.45273369550704956,0,1,1
7,25,0.3920097053050995,0,1,0
8,23,0.659809410572052,0,1,1
9,17,0.6163673996925354,599,0,1
10,27,0.0784972757101059,0,1,0
11,29,0.38794851303100586,0,1,1
12,19,0.32948994636535645,0,1,1
13,0,0.35158446431159973,0,1,0
14,27,0.28199949860572815,0,1,0
15,17,0.8257544040679932,0,1,1
