n_modules,topology,eta_midpoint,eta_max_slope,max_abs_slope,sigma_derivative
16,ring_lattice,0.15,0.195,5.017452216254146,0.04982608487832122
16,small_world,0.185,0.2,4.036809583720434,0.0619300947481385
16,erdos_renyi,0.13,0.155,5.476344048464277,0.045650893696152474
16,scale_free,0.115,0.13,6.41846988663783,0.03895009315545092
16,modular_clustered,0.1,0.135,7.106757900125217,0.03517778479489151
32,ring_lattice,0.145,0.16,5.368642021122447,0.04656671072803832
32,small_world,0.17500000000000002,0.2,4.489479013212758,0.055685748672449
32,erdos_renyi,0.13,0.165,6.186791087643819,0.040408670093822444
32,scale_free,0.11,0.125,6.969006950571853,0.0358731167543872
32,modular_clustered,0.095,0.13,8.18787741299644,0.030532943691020636
64,ring_lattice,0.14,0.155,5.782326136292667,0.043235195336160555
64,small_world,0.17500000000000002,0.185,4.582335874702771,0.05455732771142971
64,erdos_renyi,0.125,0.13,6.464615654535017,0.038672059308680104
64,scale_free,0.11,0.14,7.712889675336086,0.03241327317301558
64,modular_clustered,0.095,0.12,8.6404807249164,0.028933575336737856
128,ring_lattice,0.14,0.15,6.216199878854177,0.040217497003343164
128,small_world,0.17,0.165,4.926491266418267,0.05074605565712467
128,erdos_renyi,0.125,0.14,7.115151958411332,0.03513628401210139
128,scale_free,0.105,0.13,8.196204781636805,0.03050192212865554
128,modular_clustered,0.09,0.12,9.406841137502177,0.02657640289079902
