local_noise,link_noise,repeat,local_coverage,local_validity,link_consistency,global_stability,cgcs
0.0,0.0,0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,1,1.0,1.0,1.0,1.0,1.0
0.0,0.0,2,1.0,1.0,1.0,1.0,1.0
0.0,0.0,3,1.0,1.0,1.0,1.0,1.0
0.0,0.0,4,1.0,1.0,1.0,1.0,1.0
0.0,0.0,5,1.0,1.0,1.0,1.0,1.0
0.0,0.0,6,1.0,1.0,1.0,1.0,1.0
0.0,0.0,7,1.0,1.0,1.0,1.0,1.0
0.0,0.0,8,1.0,1.0,1.0,1.0,1.0
0.0,0.0,9,1.0,1.0,1.0,1.0,1.0
0.0,0.0,10,1.0,1.0,1.0,1.0,1.0
0.0,0.0,11,1.0,1.0,1.0,1.0,1.0
0.0,0.0,12,1.0,1.0,1.0,1.0,1.0
0.0,0.0,13,1.0,1.0,1.0,1.0,1.0
0.0,0.0,14,1.0,1.0,1.0,1.0,1.0
0.0,0.0,15,1.0,1.0,1.0,1.0,1.0
0.0,0.0,16,1.0,1.0,1.0,1.0,1.0
0.0,0.0,17,1.0,1.0,1.0,1.0,1.0
0.0,0.0,18,1.0,1.0,1.0,1.0,1.0
0.0,0.0,19,1.0,1.0,1.0,1.0,1.0
0.0,0.0,20,1.0,1.0,1.0,1.0,1.0
0.0,0.0,21,1.0,1.0,1.0,1.0,1.0
0.0,0.0,22,1.0,1.0,1.0,1.0,1.0
0.0,0.0,23,1.0,1.0,1.0,1.0,1.0
0.0,0.0,24,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,0,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,1,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,2,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,3,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,4,1.0,1.0,0.875,1.0,0.875
0.0,0.049999999999999996,5,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,6,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.049999999999999996,7,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,8,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.049999999999999996,9,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.049999999999999996,10,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,11,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,12,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.049999999999999996,13,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.049999999999999996,14,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.049999999999999996,15,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.049999999999999996,16,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,17,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,18,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.049999999999999996,19,1.0,1.0,0.875,1.0,0.875
0.0,0.049999999999999996,20,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,21,1.0,1.0,1.0,1.0,1.0
0.0,0.049999999999999996,22,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.049999999999999996,23,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.049999999999999996,24,1.0,1.0,0.875,1.0,0.875
0.0,0.09999999999999999,0,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.09999999999999999,1,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.09999999999999999,2,1.0,1.0,1.0,1.0,1.0
0.0,0.09999999999999999,3,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.09999999999999999,4,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
