topology,label,n_modules,mean_abs_residual,max_abs_residual,total_residual_energy,residual_localization,residual_asymmetry,residual_entropy,residual_bend_energy,mean_abs_bend,residual_spectral_ratio
erdos_renyi,Erdős–Rényi,16,0.027072129325040308,0.0665184020900993,0.09016691197083183,0.3825810556148415,-0.29205586829023883,0.7257723326772165,0.05481313515445739,0.05717699728050641,0.007859160802071918
erdos_renyi,Erdős–Rényi,32,0.028889475201948418,0.06939216457852793,0.11596218227964158,0.35900535153945884,-0.4232091379079055,0.7367556374294449,0.037155717630750075,0.043646572197698796,0.007778280033439044
erdos_renyi,Erdős–Rényi,64,0.0247045687680173,0.06387718562138205,0.08366811154551605,0.35106992599734926,-0.04335647047423802,0.7428312869972934,0.027778702366777232,0.036764417924872665,0.006870538450594206
erdos_renyi,Erdős–Rényi,128,0.02707139451245367,0.06466077394161605,0.1028185793593857,0.326449576929627,-0.21633105856310134,0.7798068626309927,0.018977002979679813,0.029610539671959344,0.007337947746113889
modular_clustered,modular clustered,16,0.03673009102698775,0.13596385969584845,0.26060896706694797,0.5661527129049109,-0.6132811143115121,0.6513272802052273,0.06838201130293375,0.05712626081478759,0.013935986195573772
modular_clustered,modular clustered,32,0.03372314763771413,0.13327750779450576,0.2371643591093523,0.6092338907877617,-0.6762669496509408,0.6813058084876211,0.0651314064261601,0.05316553670389564,0.01128723365348163
modular_clustered,modular clustered,64,0.03442885510083095,0.1271925211248005,0.24898288426046655,0.5515960499591569,-0.594409841472913,0.6902433947830928,0.06837987313008266,0.053028417373556264,0.009886891739345004
modular_clustered,modular clustered,128,0.030279058878277094,0.12131730572431587,0.20220756106202464,0.62174082472062,-0.6299500524538528,0.6780522464952955,0.06632772524075432,0.051520756078820555,0.008782142910413529
ring_lattice,ring lattice,16,0.026921377197906833,0.05781686117417362,0.08656328289113947,0.335608491092588,-0.5138002727309693,0.7119737105287163,0.041639451802830865,0.05459920356702645,0.005916004862210466
ring_lattice,ring lattice,32,0.0237967764949277,0.048298606785029174,0.06620123549101477,0.28892543273675814,-0.15128603965713744,0.7547376565320543,0.024683827073685154,0.04225510139249615,0.005134791938891946
ring_lattice,ring lattice,64,0.020848551652484434,0.04694779779838913,0.05064286683661444,0.33936888942330545,0.11840318611657799,0.7705027981026082,0.022027716468791828,0.03692931012981265,0.004132298449664698
ring_lattice,ring lattice,128,0.022253611953203477,0.05424750642027743,0.06123687287396671,0.34697123008008823,0.11101810398276038,0.7678963381650229,0.015061819172005197,0.028200927059007813,0.005121085573865571
scale_free,scale free,16,0.034658321795619174,0.10273477986497792,0.19449548614884857,0.4567359931747188,-0.5217764766396469,0.6632549447226747,0.05952111168687653,0.054739082005116575,0.009431973551368239
scale_free,scale free,32,0.03068714668807067,0.09224537335833105,0.15527632387402396,0.4487568261101328,-0.38409514840026615,0.7128923751426123,0.050711446407767105,0.051146100391161124,0.010529868605254879
scale_free,scale free,64,0.03414682804104385,0.09737127950658364,0.19195200533055493,0.4141652479236704,-0.428385601146079,0.7296189673188331,0.041766197010499016,0.04454492617110108,0.009683420774256057
scale_free,scale free,128,0.0277665740378232,0.08693813706966569,0.13842574410727018,0.4610624453881647,-0.3773536548065863,0.7263465752717981,0.044965098664415,0.04402372650255151,0.007571381258826106
small_world,small world,16,0.020865154435514666,0.04670638248001613,0.050722115141053396,0.32359202714178364,-0.6313849132507874,0.6575041695042796,0.04008518743700857,0.06495787395286567,0.0009099929873820717
small_world,small world,32,0.01845403878075003,0.03350936122807979,0.033726970797171296,0.27321911784945324,-0.12546670877242472,0.7668946354510461,0.028025806685656407,0.049689307083840256,0.0006881766389292474
small_world,small world,64,0.021211166679764415,0.04138711427984502,0.04395351559273629,0.3107996939190949,0.4407014979947954,0.7520213798470318,0.011252991516120626,0.029039451670964885,0.011613490223924152
small_world,small world,128,0.01614249959007632,0.04098857069290904,0.031863584967264824,0.4165915764189498,0.7057368160268227,0.6820158300709301,0.008850834332990392,0.025935710089538024,0.007659002063940346
