topology,label,n_modules,pc1,pc2
erdos_renyi,Erdős–Rényi,16,0.20906611281994833,0.9172876255450745
erdos_renyi,Erdős–Rényi,32,-0.23712465221959775,0.07694046891043921
erdos_renyi,Erdős–Rényi,64,-1.5506174885585688,-0.449464395383774
erdos_renyi,Erdős–Rényi,128,-1.8035760895912953,-0.9984586355368233
modular_clustered,modular clustered,16,4.668248722559115,-0.7291106070653958
modular_clustered,modular clustered,32,3.9460850344248772,-0.5191567961489614
modular_clustered,modular clustered,64,3.6028882020367297,-0.2605714755079907
modular_clustered,modular clustered,128,3.2249100696873696,-0.007081536421158078
ring_lattice,ring lattice,16,-0.2593581745806844,1.4426879050657289
ring_lattice,ring lattice,32,-2.1423034703169734,0.46117565252087733
ring_lattice,ring lattice,64,-2.8599360831858056,-0.029020356979060014
ring_lattice,ring lattice,128,-2.853397907720736,-0.8250693276811809
scale_free,scale free,16,2.6958977368317525,0.30207665585515703
scale_free,scale free,32,1.445597910590533,-0.2617895933835623
scale_free,scale free,64,1.3108750284127513,-0.6790025428334137
scale_free,scale free,128,0.5371821255633973,-0.13915711886446977
small_world,small world,16,-0.6673425934917169,3.4841959327986545
small_world,small world,32,-3.078254147073846,1.8884115795622847
small_world,small world,64,-3.001259416577881,-2.036037279378801
small_world,small world,128,-3.1875809196093616,-1.6388561550736251
